# HJD       V(%)     s_V(%)    P_l(%)   s_P_minus(%)   s_P_plus(%)    PA (deg)   Sigma_PA (deg)    Q(%)      U(%)    Sigma_Q_U
.591525   0.418000   0.304900   0.000000   0.000000   0.476025   92.300000   28.919628   -0.367811   -0.029593   0.372500
.592180   0.447600   0.300300   0.000000   0.000000   0.455983   84.200000   27.228056   -0.357741   0.073434   0.347100
.592835   0.461200   0.302100   0.000000   0.000000   0.414440   77.400000   44.010159   -0.219692   0.103379   0.373000
.593490   0.277300   0.238100   0.000000   0.000000   0.516027   109.500000   28.399774   -0.314045   -0.254308   0.400600
.594145   -0.058100   0.145900   0.105598   0.105598   0.178496   88.800000   19.267515   -0.254177   0.010653   0.171100
.594800   -0.068600   0.147000   0.120613   0.120613   0.164845   84.700000   19.001615   -0.251631   0.047092   0.169800
.595455   -0.051600   0.150000   0.299628   0.203843   0.171639   90.100000   14.176773   -0.360098   -0.001257   0.178200
.596110   -0.052500   0.149700   0.299447   0.203038   0.171213   90.000000   14.148587   -0.359400   -0.000000   0.177500
.596765   0.055400   0.142300   0.000000   0.000000   0.230484   76.900000   27.831631   -0.163750   0.080575   0.177300
.597420   -0.005300   0.209500   0.000000   0.000000   0.385900   110.600000   50.361913   -0.153568   -0.134439   0.358800
.598075   0.028100   0.204200   0.000000   0.000000   0.293001   159.600000   150.337184   0.042165   -0.036396   0.292300
.598730   -0.054100   0.189400   0.000000   0.000000   0.281063   160.300000   63.624987   0.093037   -0.076422   0.267400
.599385   -0.024500   0.181900   0.000000   0.000000   0.303869   154.400000   60.598091   0.085343   -0.106146   0.288100
.600040   0.052900   0.154400   0.530738   0.261062   0.249653   156.400000   11.492330   0.399036   -0.430919   0.235600
.600695   0.072100   0.099000   0.631005   0.131200   0.131200   163.500000   5.831815   0.540523   -0.351020   0.131200
.601350   -0.059500   0.116600   0.425383   0.134700   0.134700   175.600000   8.648302   0.440948   -0.068262   0.134700
.602005   -0.285800   0.060100   0.192876   0.138884   0.112719   137.200000   14.409503   0.017983   -0.233709   0.117900
.602660   -0.286800   0.141400   0.000000   0.000000   0.212574   7.400000   42.234424   0.123947   0.032748   0.189000
.603315   -0.278700   0.137200   0.000000   0.000000   0.244512   7.900000   26.959304   0.189365   0.053585   0.185200
.603970   -0.334300   0.143800   0.161143   0.161143   0.132639   172.300000   18.004186   0.257413   -0.070903   0.167800
